Ref;Val;Package;PosX;PosY;Rot;Side
C101;1uF;C_0805_2012Metric;8;13;-90;top
C102;1uF;C_0805_2012Metric;6;13;-90;top
C103;1uF;C_0805_2012Metric;4;13;-90;top
C104;1uF;C_0805_2012Metric;2;13;-90;top
D101;SK6812;LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm;8;35;0;top
J101;USB4500-03-0-A;USB_C_Receptacle_USB4500-03-0-A;15;3,2;0;top
R101;5K1;R_0603_1608Metric;9,825;8,5;180;top
R102;5K1;R_0603_1608Metric;20,5;8,5;0;top
R103;5K1;R_0603_1608Metric;17,25;27;0;top
SW101;430172085816;btn_momentary_430172085816;22;35;180;top
U101;ESP32-S2-MINI-1;ESP32-S2-MINI-1;17,7;17,35;-90;top
U102;AMS1117-3.3;SOT-223-3_TabPin2;5;20;90;top
